,entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id
0,0,arrival_departure,arrival,2.8930614220942985,,,,
1,0,queue,triage_wait_begins,2.8930614220942985,,,,
2,0,resource_use,triage_begins,2.8930614220942985,,,,1.0
3,0,resource_use_end,triage_ends,3.1240177067111077,,,,1.0
4,0,queue,MINORS_registration_wait_begins,3.1240177067111077,,,,
5,0,resource_use,MINORS_registration_begins,3.1240177067111077,,,,1.0
6,1,arrival_departure,arrival,5.8174814848671765,,,,
7,1,queue,triage_wait_begins,5.8174814848671765,,,,
8,1,resource_use,triage_begins,5.8174814848671765,,,,1.0
9,1,resource_use_end,triage_ends,6.146349422156855,,,,1.0
10,1,queue,MINORS_registration_wait_begins,6.146349422156855,,,,
11,2,arrival_departure,arrival,6.224024603089798,,,,
12,2,queue,triage_wait_begins,6.224024603089798,,,,
13,2,resource_use,triage_begins,6.224024603089798,,,,1.0
14,2,resource_use_end,triage_ends,8.298809957014484,,,,1.0
15,2,queue,MINORS_registration_wait_begins,8.298809957014484,,,,
16,0,resource_use_end,MINORS_registration_ends,8.333249090110403,,,,1.0
17,0,queue,MINORS_examination_wait_begins,8.333249090110403,,,,
18,0,resource_use,MINORS_examination_begins,8.333249090110403,,,,1.0
19,1,resource_use,MINORS_registration_begins,8.333249090110403,,,,1.0
20,1,resource_use_end,MINORS_registration_ends,10.837244713681343,,,,1.0
21,1,queue,MINORS_examination_wait_begins,10.837244713681343,,,,
22,1,resource_use,MINORS_examination_begins,10.837244713681343,,,,2.0
23,2,resource_use,MINORS_registration_begins,10.837244713681343,,,,1.0
24,2,resource_use_end,MINORS_registration_ends,14.307879065222073,,,,1.0
25,2,queue,MINORS_examination_wait_begins,14.307879065222073,,,,
26,2,resource_use,MINORS_examination_begins,14.307879065222073,,,,3.0
27,3,arrival_departure,arrival,18.025699862363673,,,,
28,3,queue,triage_wait_begins,18.025699862363673,,,,
29,3,resource_use,triage_begins,18.025699862363673,,,,1.0
30,3,resource_use_end,triage_ends,19.190763756829647,,,,1.0
31,3,queue,MINORS_registration_wait_begins,19.190763756829647,,,,
32,3,resource_use,MINORS_registration_begins,19.190763756829647,,,,1.0
33,3,resource_use_end,MINORS_registration_ends,23.19783682959811,,,,1.0
34,3,queue,MINORS_examination_wait_begins,23.19783682959811,,,,
35,0,resource_use_end,MINORS_examination_ends,25.534772703500035,,,,1.0
36,0,arrival_departure,depart,25.534772703500035,,,,
37,3,resource_use,MINORS_examination_begins,25.534772703500035,,,,1.0
38,1,resource_use_end,MINORS_examination_ends,26.817153549054005,,,,2.0
39,1,queue,MINORS_treatment_wait_begins,26.817153549054005,,,,
40,1,resource_use,MINORS_treatment_begins,26.817153549054005,,,,1.0
41,2,resource_use_end,MINORS_examination_ends,30.571736786347245,,,,3.0
42,2,arrival_departure,depart,30.571736786347245,,,,
43,1,resource_use_end,MINORS_treatment_ends,38.339574206960144,,,,1.0
44,1,arrival_departure,depart,38.339574206960144,,,,
45,3,resource_use_end,MINORS_examination_ends,39.641357314344766,,,,1.0
46,3,queue,MINORS_treatment_wait_begins,39.641357314344766,,,,
47,3,resource_use,MINORS_treatment_begins,39.641357314344766,,,,1.0
48,4,arrival_departure,arrival,45.38711456338026,,,,
49,4,queue,triage_wait_begins,45.38711456338026,,,,
50,4,resource_use,triage_begins,45.38711456338026,,,,1.0
51,4,resource_use_end,triage_ends,46.70780742731713,,,,1.0
52,4,queue,MINORS_registration_wait_begins,46.70780742731713,,,,
53,4,resource_use,MINORS_registration_begins,46.70780742731713,,,,1.0
54,4,resource_use_end,MINORS_registration_ends,49.94217656004011,,,,1.0
55,4,queue,MINORS_examination_wait_begins,49.94217656004011,,,,
56,4,resource_use,MINORS_examination_begins,49.94217656004011,,,,2.0
57,3,resource_use_end,MINORS_treatment_ends,52.674932495888044,,,,1.0
58,3,arrival_departure,depart,52.674932495888044,,,,
59,4,resource_use_end,MINORS_examination_ends,64.67331760718412,,,,2.0
60,4,queue,MINORS_treatment_wait_begins,64.67331760718412,,,,
61,4,resource_use,MINORS_treatment_begins,64.67331760718412,,,,1.0
